PnPID,D1,D2,D3,D4,D5,D6,D7
7364,,"2860 tr/min, 1.5 kW",IP 65,,,Fabr.: Siemens,
7826,,"2900 tr/min, 3 kW",IP 65,,,Fabr.: VEM,
7835,,"2900 tr/min, 4 kW",IP 65,,,Fabr.: VEM,
7986,,"2900 tr/min, 4 kW",IP 65,,,Fabr.: VEM,
8486,,"2900 tr/min, 3 kW",IP 65,,,Fabr.: VEM,
8775,,"1450 tr/min, 0.75 kW",,,,,
8791,,"1450 tr/min, 0.75 kW",,,,,
9625,,"1450 tr/min, 0.37 kw",,,,,
9658,,"1450 tr/min, 0.37 kw",,,,,
10162,"1450 tr/min, 0.25 kW",,,,,,
