RowId,DwgId,DwgHandleLow,DwgHandleHigh,DwgSubIndex,RowClassName,PnPID
4094,3402,6912,0,0,Primary,4095
4109,3402,6927,0,0,Primary,4110
4115,3402,6934,0,0,Vessel,4116
4117,3402,6935,0,0,Vessel,4118
4157,3402,7097,0,0,Primary,4158
4159,3402,7100,0,0,Primary,4160
4161,3402,7103,0,0,Primary,4162
4163,3402,7106,0,0,Primary,4164
4165,3402,7109,0,0,Primary,4166
4169,3402,7115,0,0,Primary,4170
4171,3402,7118,0,0,Primary,4172
4175,3402,7127,0,0,FlowArrow,4176
4179,3402,7128,0,0,Primary,4180
4197,3402,7152,0,0,Primary,4198
4199,3402,7155,0,0,Primary,4201
4208,3402,7167,0,0,Primary,4209
4212,3402,7173,0,0,Primary,4213
4214,3402,7176,0,0,Primary,4215
4216,3402,7179,0,0,Primary,4217
4236,3402,7209,0,0,Primary,4237
4238,3402,7212,0,0,Primary,4239
4242,3402,7218,0,0,Primary,4243
4244,3402,7221,0,0,Primary,4245
4246,3402,7224,0,0,Primary,4247
4250,3402,7230,0,0,Primary,4251
4252,3402,7233,0,0,Primary,4253
4258,3402,7239,0,0,Primary,4259
4262,3402,7245,0,0,Primary,4263
4264,3402,7248,0,0,Primary,4265
4266,3402,7255,0,0,FlowArrow,4267
4268,3402,7252,0,0,Primary,4269
4280,3402,7269,0,0,Primary,4281
4282,3402,7272,0,0,Primary,4283
4284,3402,7275,0,0,Primary,4285
4288,3402,7281,0,0,Primary,4289
4290,3402,7285,0,0,Vessel,4291
4292,3402,7286,0,0,Vessel,4293
4298,3402,7329,0,0,FlowArrow,4299
4301,3402,7330,0,0,Primary,4302
4305,3402,7334,0,0,GateValve,4306
4309,3402,7336,0,0,CheckValve,4310
4311,3402,7337,0,0,GateValve,4312
4327,3402,7345,0,0,GateValve,4328
4329,3402,7346,0,0,GateValve,4330
4331,3402,7347,0,0,Weir,4332
4347,3402,4952,0,0,Primary,4348
4458,3402,7407,0,0,Primary,4459
4460,3402,7412,0,0,Primary,4461
4462,3402,7415,0,0,Primary,4463
