PnPID,D1,D2,D3,D4,D5,D6,D7
10135,Doorloopverwarmer(elektrisch),6 kW,,,,Fabr. PGR,
10148,Doorloopverwarmer(elektrisch),55 kW,,,,Fabr. PGR,
10155,Doorloopverwarmer(elektrisch),35 kW,,,,Fabr. PGR,
