PnPID,Voltage,Phase,Frequency,Speed,PowerRating,Certification,Frame
7364,,,,,,,
7826,,,,,,,
7835,,,,,,,
7986,,,,,,,
8486,,,,,,,
8775,,,,,,,
8791,,,,,,,
9625,,,,,,,
9658,,,,,,,
10162,,,,,,,
