TableName,AttributeName,AttributeValue,AttributeType
GateValve,GraphicalStyleName,Gate Valve Style,PnPGraphical
GateValve,HasFlowDirection,False,PnPBooleanType
GenericRotaryValve,BitwiseFlagValue,3,PnPClassFlagType
GenericRotaryValve,DisplayName,Generic Rotary Valve,PnPClassDisplayName
GenericRotaryValve,GraphicalStyleName,Generic Rotary Valve Style,PnPGraphical
GenericRotaryValve,HasFlowDirection,false,PnPClassBooleanType
GlobeValve,BitwiseFlagValue,3,PnPClassFlagType
GlobeValve,DisplayName,Globe Valve,PnPClassDisplayName
GlobeValve,GraphicalStyleName,Globe Valve Style,PnPGraphical
GlobeValve,HasFlowDirection,false,PnPClassBooleanType
KnifeValve,AnnotationStyleName,Valve Label - Knife,PnPAnnotation
KnifeValve,BitwiseFlagValue,3,PnPClassFlagType
KnifeValve,DisplayName,Knife Valve,PnPClassDisplayName
KnifeValve,GraphicalStyleName,Knife Valve Style,PnPGraphical
KnifeValve,HasFlowDirection,false,PnPClassBooleanType
LiftCheckValve,BitwiseFlagValue,0,PnPClassFlagType
LiftCheckValve,DisplayName,Lift Check Valve,PnPClassDisplayName
LiftCheckValve,HasFlowDirection,true,PnPClassBooleanType
NeedleValve,BitwiseFlagValue,3,PnPClassFlagType
NeedleValve,DisplayName,Needle Valve,PnPClassDisplayName
NeedleValve,GraphicalStyleName,Needle Valve Style,PnPGraphical
NeedleValve,HasFlowDirection,false,PnPClassBooleanType
PinchValve,BitwiseFlagValue,3,PnPClassFlagType
PinchValve,DisplayName,Pinch Valve,PnPClassDisplayName
PinchValve,GraphicalStyleName,Pinch Valve Style,PnPGraphical
