TableName,AttributeName,AttributeValue,AttributeType
PackedTower,DisplayName,Packed Tower,PnPClassDisplayName
PelletizingDiskShapingMachine,BitwiseFlagValue,0,PnPClassFlagType
PelletizingDiskShapingMachine,DisplayName,Pelletizing Disk Shaping Machine,PnPClassDisplayName
PistonPressShapingMachine,BitwiseFlagValue,0,PnPClassFlagType
PistonPressShapingMachine,DisplayName,Piston Press Shaping Machine,PnPClassDisplayName
RollerPressShapingMachine,BitwiseFlagValue,0,PnPClassFlagType
RollerPressShapingMachine,DisplayName,Roller Press Shaping Machine,PnPClassDisplayName
RollStand,BitwiseFlagValue,0,PnPClassFlagType
RollStand,DisplayName,Roll Stand,PnPClassDisplayName
RotaryTable,BitwiseFlagValue,0,PnPClassFlagType
RotaryTable,DisplayName,Rotary Table,PnPClassDisplayName
RotaryValveFeeder,BitwiseFlagValue,0,PnPClassFlagType
RotaryValveFeeder,DisplayName,Rotary Valve Feeder,PnPClassDisplayName
ScrewTypeExtruderShapingMachine,BitwiseFlagValue,0,PnPClassFlagType
ScrewTypeExtruderShapingMachine,DisplayName,Screw Type Extruder Shaping Machine,PnPClassDisplayName
Ship,BitwiseFlagValue,0,PnPClassFlagType
Ship,DisplayName,Ship,PnPClassDisplayName
Silo,BitwiseFlagValue,2,PnPClassFlagType
Silo,DisplayName,Silo,PnPClassDisplayName
Silo,GraphicalStyleName,Silo Style,PnPGraphical
StackChimney,BitwiseFlagValue,0,PnPClassFlagType
StackChimney,DisplayName,Stack Chimney,PnPClassDisplayName
WeighbridgeScale,BitwiseFlagValue,0,PnPClassFlagType
WeighbridgeScale,DisplayName,Weighing Platform Floor Scale,PnPClassDisplayName
MixingEquipment,BitwiseFlagValue,3,PnPClassFlagType
MixingEquipment,DisplayName,Mixing Equipment,PnPClassDisplayName
MixingEquipment,GraphicalStyleName,Mixing Equipment Style,PnPGraphical
AnchorAgitator,BitwiseFlagValue,0,PnPClassFlagType
AnchorAgitator,DisplayName,Anchor Agitator,PnPClassDisplayName
BladeAgitator,BitwiseFlagValue,3,PnPClassFlagType
BladeAgitator,DisplayName,Blade Agitator,PnPClassDisplayName
BladeAgitator,GraphicalStyleName,Blade Agitator Style,PnPGraphical
CrossBeamAgitator,BitwiseFlagValue,0,PnPClassFlagType
CrossBeamAgitator,DisplayName,Cross Beam Agitator,PnPClassDisplayName
DiskAgitator,BitwiseFlagValue,0,PnPClassFlagType
DiskAgitator,DisplayName,Disk Agitator,PnPClassDisplayName
GatePaddleAgitator,BitwiseFlagValue,0,PnPClassFlagType
GatePaddleAgitator,DisplayName,Gate Paddle Agitator,PnPClassDisplayName
GeneralAgitator,BitwiseFlagValue,0,PnPClassFlagType
GeneralAgitator,DisplayName,General Agitator,PnPClassDisplayName
GeneralMixer,BitwiseFlagValue,0,PnPClassFlagType
GeneralMixer,DisplayName,General Mixer,PnPClassDisplayName
HelicalAgitator,BitwiseFlagValue,0,PnPClassFlagType
HelicalAgitator,DisplayName,Helical Agitator,PnPClassDisplayName
ImpellerAgitator,BitwiseFlagValue,0,PnPClassFlagType
ImpellerAgitator,DisplayName,Impeller Agitator,PnPClassDisplayName
MixerAgitator,BitwiseFlagValue,0,PnPClassFlagType
MixerAgitator,DisplayName,Mixer Agitator,PnPClassDisplayName
PaddleAgitator,BitwiseFlagValue,3,PnPClassFlagType
PaddleAgitator,DisplayName,Flat-blade Paddle Agitator,PnPClassDisplayName
PaddleAgitator,GraphicalStyleName,Paddle Agitator Style,PnPGraphical
PropellerAgitator,BitwiseFlagValue,0,PnPClassFlagType
PropellerAgitator,DisplayName,Propeller Agitator,PnPClassDisplayName
StaticMixer,BitwiseFlagValue,0,PnPClassFlagType
StaticMixer,DisplayName,Static Mixer,PnPClassDisplayName
TurbineAgitator,BitwiseFlagValue,0,PnPClassFlagType
TurbineAgitator,DisplayName,Turbine Agitator,PnPClassDisplayName
Pumps,BitwiseFlagValue,3,PnPClassFlagType
Pumps,DisplayName,Pumps,PnPClassDisplayName
Pumps,GraphicalStyleName,Pumps Style,PnPGraphical
CentrifugalPump,BitwiseFlagValue,0,PnPClassFlagType
CentrifugalPump,DisplayName,Centrifugal Pump,PnPClassDisplayName
CentrifugalSumpPump,BitwiseFlagValue,3,PnPClassFlagType
CentrifugalSumpPump,DisplayName,Centrifugal Sump Pump,PnPClassDisplayName
CentrifugalSumpPump,GraphicalStyleName,Centrifugal Sump Pump Style,PnPGraphical
DiaphragmPump,BitwiseFlagValue,0,PnPClassFlagType
DiaphragmPump,DisplayName,Diaphragm Pump,PnPClassDisplayName
GearPump,BitwiseFlagValue,0,PnPClassFlagType
GearPump,DisplayName,Gear Pump,PnPClassDisplayName
GeneralPump,BitwiseFlagValue,0,PnPClassFlagType
GeneralPump,DisplayName,General Pump,PnPClassDisplayName
HelicalRotorPump,BitwiseFlagValue,0,PnPClassFlagType
HelicalRotorPump,DisplayName,Helical Rotor Pump,PnPClassDisplayName
HorizontalCentrifugalPump,BitwiseFlagValue,3,PnPClassFlagType
HorizontalCentrifugalPump,DisplayName,Horizontal Centrifugal Pump,PnPClassDisplayName
HorizontalCentrifugalPump,GraphicalStyleName,Horizontal Centrifugal Pump Style,PnPGraphical
LiquidJetPump,BitwiseFlagValue,0,PnPClassFlagType
LiquidJetPump,DisplayName,Liquid Jet Pump,PnPClassDisplayName
LiquidRingVacuumPump,BitwiseFlagValue,3,PnPClassFlagType
LiquidRingVacuumPump,DisplayName,Liquid Ring Vacuum Pump,PnPClassDisplayName
LiquidRingVacuumPump,GraphicalStyleName,Liquid Ring Vacuum Pump Style,PnPGraphical
PositiveDisplacementPump,BitwiseFlagValue,3,PnPClassFlagType
PositiveDisplacementPump,DisplayName,Positive Displacement Pump,PnPClassDisplayName
PositiveDisplacementPump,GraphicalStyleName,Positive Displacement Pump Style,PnPGraphical
ProgressiveCavityPump,BitwiseFlagValue,3,PnPClassFlagType
