ROWID,RELID,RelationshipTypeName
11418,8109,AnnotationRelationship
10171,8110,AnnotationRelationship
11420,8110,AnnotationRelationship
10171,8111,AnnotationRelationship
11422,8111,AnnotationRelationship
10171,8112,AnnotationRelationship
11424,8112,AnnotationRelationship
10171,8113,AnnotationRelationship
11426,8113,AnnotationRelationship
10171,8114,AnnotationRelationship
11428,8114,AnnotationRelationship
10171,8115,AnnotationRelationship
11430,8115,AnnotationRelationship
10171,8116,AnnotationRelationship
11432,8116,AnnotationRelationship
10171,8117,AnnotationRelationship
11434,8117,AnnotationRelationship
10171,8118,AnnotationRelationship
11436,8118,AnnotationRelationship
10171,8119,AnnotationRelationship
11438,8119,AnnotationRelationship
4179,8120,LineEndAsset
7797,8120,LineEndAsset
4594,8121,PipeLineGroupRelationship
11440,8121,PipeLineGroupRelationship
11440,8122,LineEndAsset
7946,8122,LineEndAsset
11440,8123,LineStartAsset
7797,8123,LineStartAsset
4262,8124,LineStartAsset
10932,8124,LineStartAsset
4264,8125,LineEndAsset
10932,8125,LineEndAsset
3406,8141,AnnotationRelationship
11445,8141,AnnotationRelationship
7306,8142,LineStartLine
3460,8142,LineStartLine
11455,8146,PipeLineGroupRelationship
11453,8146,PipeLineGroupRelationship
10491,8147,LineStartAsset
4046,8147,LineStartAsset
8757,8164,LineLineRelationship
