PnPID,ClassName,Description,Manufacturer,ModelNumber,Supplier,Comment,FlagValue,AcquisitionProperties,Status,ParamOnLine
9151,FIELDCS2,FIELDCS2,,,,,0,#Status,New,
9153,Field DCS,FIELD DCS,,,,,0,#Status,New,
9155,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9161,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9164,Field DCS,FIELD DCS,,,,,0,#Status,New,
9171,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9173,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9177,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9181,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9185,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9204,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9206,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9211,Software Signal Line,SOFTWARE SIGNAL LINE,,,,,0,#Status,New,
9213,Software Signal Line,SOFTWARE SIGNAL LINE,,,,,0,#Status,New,
9217,Field DCS,FIELD DCS,,,,,0,#Status,New,
9219,Field DCS,FIELD DCS,,,,,0,#Status,New,
9221,FIELDCS2,FIELDCS2,,,,,0,#Status,New,
9225,Software Signal Line,SOFTWARE SIGNAL LINE,,,,,0,#Status,New,
9227,Gate Valve,GATE VALVE,,,,,0,Size,New,1.0
9236,Field DCS,FIELD DCS,,,,,0,#Status,New,
9241,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9244,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9254,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9262,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9264,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9266,Field DCS,FIELD DCS,,,,,0,#Status,New,
9271,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9273,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9276,Field DCS,FIELD DCS,,,,,0,#Status,New,
9278,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9289,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9291,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9293,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9297,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9299,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9304,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9306,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9319,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9321,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9327,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9330,Field DCS,FIELD DCS,,,,,0,#Status,New,
9338,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9340,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9345,Software Signal Line,SOFTWARE SIGNAL LINE,,,,,0,#Status,New,
9350,Software Signal Line,SOFTWARE SIGNAL LINE,,,,,0,#Status,New,
9353,Field DCS,FIELD DCS,,,,,0,#Status,New,
9355,Field DCS,FIELD DCS,,,,,0,#Status,New,
9357,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9363,Gate Valve,GATE VALVE,,,,,0,Size,New,0.045363
9369,Gate Valve,GATE VALVE,,,,,0,Size,New,2.743168
9373,Vessel,VESSEL,,,,,0,#Status,New,
9378,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9384,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9386,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9390,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9392,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9394,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9398,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9401,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9409,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9411,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9413,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9415,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9417,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9419,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9427,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9429,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9431,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9435,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9437,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9470,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9477,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9481,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9491,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9493,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9497,Gate Valve,GATE VALVE,,,,,1,,New,0.073987
9502,Field DCS,FIELD DCS,,,,,0,#Status,New,
9504,Field DCS,FIELD DCS,,,,,0,#Status,New,
9506,FIELDCS2,FIELDCS2,,,,,0,#Status,New,
9508,Vent Cover,VENT COVER,,,,,0,,New,1.0
9510,FIELDDCS3,FIELDDCS3,,,,,0,#Status,New,
9516,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9522,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9524,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9543,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9553,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9555,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9557,Field DCS,FIELD DCS,,,,,0,#Status,New,
9561,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9565,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9567,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9573,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9575,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9577,Field DCS,FIELD DCS,,,,,0,#Status,New,
9579,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9583,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9593,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9595,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9599,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9602,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
