PnPID,ClassName,Description,Manufacturer,ModelNumber,Supplier,Comment,FlagValue,AcquisitionProperties,Status,ParamOnLine
11709,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11903,Hose Connection,HOSE CONNECTION,,,,,0,,,
11905,Silo,LOSSTATION,,,,,0,#Status,New,
11911,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11928,Gate Valve,GATE VALVE,,,,,0,,New,1.0
11930,Capillary Tube,CAPILLARY TUBE,,,,,0,#Status,New,
11935,Field Discrete Instrument,FIELD DISCRETE INSTRUMENT,,,,,0,#Status,New,
11940,Instrument Supply,INSTRUMENT SUPPLY,,,,,0,#Status,New,
12004,Open Top Tank,OPEN TOP TANK,,,,,0,#Status,New,
12006,Instrument Supply,INSTRUMENT SUPPLY,,,,,0,#Status,New,
12010,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
12030,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
12035,Double Wall Tank,DOUBLE WALL TANK,,,,,0,#Status,New,
12038,Blade Agitator,BLADE AGITATOR,,,,,0,#Status,New,
12043,Field Discrete Instrument,NR440,,,,,0,#Status,New,
12046,Instrument Supply,INSTRUMENT SUPPLY,,,,,0,#Status,New,
12049,Field Discrete Instrument,FIELD DISCRETE INSTRUMENT,,,,,0,#Status,New,1.0
12052,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
12059,Field Discrete Instrument,FIELD DISCRETE INSTRUMENT,,,,,0,#Status,New,0.000546
12061,Field Discrete Instrument,FIELD DISCRETE INSTRUMENT,,,,,0,#Status,New,
12065,Field Discrete Instrument,FIELD DISCRETE INSTRUMENT,,,,,0,#Status,New,0.0
