PnPID,StyleName,PropValue,ColorValue,TransparencyValue
527,Color by Service,ValueNotSet,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
528,Color by Service,ValueNotMatch,GAAAAAIAAAADAADDAAAAAAAAAAAAAAAA,0.0
530,Color by Size,8,GAAAAAIAAAABAADDAAAAAAAAAAAAAAAA,0.0
531,Color by Size,10,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
532,Color by Size,15,GAAAAAIAAAADAADDAAAAAAAAAAAAAAAA,0.0
533,Color by Size,20,GAAAAAIAAAAEAADDAAAAAAAAAAAAAAAA,0.0
534,Color by Size,25,GAAAAAIAAAAFAADDAAAAAAAAAAAAAAAA,0.0
535,Color by Size,32,GAAAAAIAAAAGAADDAAAAAAAAAAAAAAAA,0.0
536,Color by Size,40,GAAAAAIAAAAHAADDAAAAAAAAAAAAAAAA,0.0
537,Color by Size,50,GAAAAAIAAAAIAADDAAAAAAAAAAAAAAAA,0.0
538,Color by Size,65,GAAAAAIAAAABAADDAAAAAAAAAAAAAAAA,0.0
539,Color by Size,80,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
540,Color by Size,100,GAAAAAIAAAADAADDAAAAAAAAAAAAAAAA,0.0
541,Color by Size,125,GAAAAAIAAAAEAADDAAAAAAAAAAAAAAAA,0.0
542,Color by Size,150,GAAAAAIAAAAFAADDAAAAAAAAAAAAAAAA,0.0
543,Color by Size,200,GAAAAAIAAAAGAADDAAAAAAAAAAAAAAAA,0.0
544,Color by Size,250,GAAAAAIAAAAHAADDAAAAAAAAAAAAAAAA,0.0
545,Color by Size,300,GAAAAAIAAAAIAADDAAAAAAAAAAAAAAAA,0.0
546,Color by Size,350,GAAAAAIAAAABAADDAAAAAAAAAAAAAAAA,0.0
547,Color by Size,400,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
548,Color by Size,450,GAAAAAIAAAADAADDAAAAAAAAAAAAAAAA,0.0
549,Color by Size,500,GAAAAAIAAAAEAADDAAAAAAAAAAAAAAAA,0.0
550,Color by Size,550,GAAAAAIAAAAFAADDAAAAAAAAAAAAAAAA,0.0
551,Color by Size,600,GAAAAAIAAAAGAADDAAAAAAAAAAAAAAAA,0.0
552,Color by Size,650,GAAAAAIAAAAHAADDAAAAAAAAAAAAAAAA,0.0
553,Color by Size,700,GAAAAAIAAAAIAADDAAAAAAAAAAAAAAAA,0.0
554,Color by Size,750,GAAAAAIAAAABAADDAAAAAAAAAAAAAAAA,0.0
555,Color by Size,800,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
556,Color by Size,900,GAAAAAIAAAADAADDAAAAAAAAAAAAAAAA,0.0
557,Color by Size,1000,GAAAAAIAAAAEAADDAAAAAAAAAAAAAAAA,0.0
558,Color by Size,ValueNotSet,GAAAAAIAAAAFAADDAAAAAAAAAAAAAAAA,0.0
559,Color by Size,ValueNotMatch,GAAAAAIAAAAGAADDAAAAAAAAAAAAAAAA,0.0
