TableName,BaseTable,Abstract,PhysicalName,Revision,SyncTimestamp
ElectromagneticSeparator,Filters,FALSE,ElectromagneticSeparator,,
ElectrostaticPrecipitatorSeparator,Filters,FALSE,ElectrostaticPrecipitatorSeparator,,
GeneralSeparator,Filters,FALSE,GeneralSeparator,,
GravitySettlingChamberSeparator,Filters,FALSE,GravitySettlingChamberSeparator,,
ImpactSeparator,Filters,FALSE,ImpactSeparator,,
ThickenerSeparator,Filters,FALSE,ThickenerSeparator,,
VenturiSeparator,Filters,FALSE,VenturiSeparator,,
WetScrubberSeparator,Filters,FALSE,WetScrubberSeparator,,
GravelFilterClosedType,Filters,FALSE,GravelFilterClosedType,,
GravelFilterOpenType,Filters,FALSE,GravelFilterOpenType,,
MixedBedFilter,Filters,FALSE,MixedBedFilter,,
ElectromagnetFilter,Filters,FALSE,ElectromagnetFilter,,
VesselBuiltInTricklingElementsAtRandom,Filters,FALSE,VesselBuiltInTricklingElementsAtRandom,,
GeneralStirrer,Filters,FALSE,GeneralStirrer,,
SeparatorWithHeatExchange,Filters,FALSE,SeparatorWithHeatExchange,,
FlashTrap,Filters,FALSE,FlashTrap,,
FineRack,Filters,FALSE,FineRack,,
DrumScreeningMachine,Filters,FALSE,DrumScreeningMachine,,
BasketBandScreeningMachine,Filters,FALSE,BasketBandScreeningMachine,,
ProtectiveGrating,Filters,FALSE,ProtectiveGrating,,
InsulatingSlabClosure,Filters,FALSE,InsulatingSlabClosure,,
Furnaces,Equipment,FALSE,Furnaces,,
BurnerFiringSystem,Furnaces,FALSE,BurnerFiringSystem,,
FileEvaporator,Furnaces,FALSE,FileEvaporator,,
FiredHeater,Furnaces,FALSE,FiredHeater,,
Furnace,Furnaces,FALSE,Furnace,,
GasFlare,Furnaces,FALSE,GasFlare,,
IndustrialFurnace,Furnaces,FALSE,IndustrialFurnace,,
RotaryKiln,Furnaces,FALSE,RotaryKiln,,
SteamBoiler,Furnaces,FALSE,SteamBoiler,,
GasGeneratingPlantGeneral,Furnaces,FALSE,GasGeneratingPlantGeneral,,
FuelDegasifier,Furnaces,FALSE,FuelDegasifier,,
FuelGasifier,Furnaces,FALSE,FuelGasifier,,
CombustionChamber,Furnaces,FALSE,CombustionChamber,,
HeatConsumerGeneral,Furnaces,FALSE,HeatConsumerGeneral,,
HeatConsumerWithHeatingSurface,Furnaces,FALSE,HeatConsumerWithHeatingSurface,,
SootBlower,Furnaces,FALSE,SootBlower,,
FiringGeneralBurnerGeneral,Furnaces,FALSE,FiringGeneralBurnerGeneral,,
SteamGeneratorSteamBoiler,Furnaces,FALSE,SteamGeneratorSteamBoiler,,
SteamGeneratorHeatedByWasteHeat,Furnaces,FALSE,SteamGeneratorHeatedByWasteHeat,,
SteamGeneratorSuperheaterHeatedByWasteheat,Furnaces,FALSE,SteamGeneratorSuperheaterHeatedByWasteheat,,
SteamGeneratorElectricallyHeated,Furnaces,FALSE,SteamGeneratorElectricallyHeated,,
SteamConverter,Furnaces,FALSE,SteamConverter,,
SteamConverterSteamHeated,Furnaces,FALSE,SteamConverterSteamHeated,,
SteamGeneratorHotWaterHeated,Furnaces,FALSE,SteamGeneratorHotWaterHeated,,
SteamGeneratorLiquidMetalHeated,Furnaces,FALSE,SteamGeneratorLiquidMetalHeated,,
SteamGeneratorSuperheaterSteamBoilerSuperheater,Furnaces,FALSE,SteamGeneratorSuperheaterSteamBoilerSuperheater,,
SteamGeneratorSuperheaterResuperheaterFluegasHeated,Furnaces,FALSE,SteamGeneratorSuperheaterResuperheaterFluegasHeated,,
SteamGeneratorSuperheatergasFired,Furnaces,FALSE,SteamGeneratorSuperheatergasFired,,
SteamGeneratorSuperheateroilFired,Furnaces,FALSE,SteamGeneratorSuperheateroilFired,,
SteamGeneratorSuperheaterpulverizedCoalFired,Furnaces,FALSE,SteamGeneratorSuperheaterpulverizedCoalFired,,
SteamGeneratorSuperheaterPulverizedCoalFiringLiquidSlagRemoval,Furnaces,FALSE,SteamGeneratorSuperheaterPulverizedCoalFiringLiquidSlagRemoval,,
SteamGeneratorSuperheaterStokerFiringCoalFired,Furnaces,FALSE,SteamGeneratorSuperheaterStokerFiringCoalFired,,
SteamGeneratorSuperheaterStokerFiringrefuseFired,Furnaces,FALSE,SteamGeneratorSuperheaterStokerFiringrefuseFired,,
HeatExchangers,Equipment,FALSE,HeatExchangers,,
AirCooledExchanger,HeatExchangers,FALSE,AirCooledExchanger,,
DoubleHeatHeatExchanger,HeatExchangers,FALSE,DoubleHeatHeatExchanger,,
DoublePipeExchanger,HeatExchangers,FALSE,DoublePipeExchanger,,
Evaporator,HeatExchangers,FALSE,Evaporator,,
FinnedTubeHeatExchanger,HeatExchangers,FALSE,FinnedTubeHeatExchanger,,
General1HeatExchanger,HeatExchangers,FALSE,General1HeatExchanger,2.0,
General2HeatExchanger,HeatExchangers,FALSE,General2HeatExchanger,,
GeneralCoolingTower,HeatExchangers,FALSE,GeneralCoolingTower,,
HeatingCooling,HeatExchangers,FALSE,HeatingCooling,,
PlateAndFrameExchanger,HeatExchangers,FALSE,PlateAndFrameExchanger,,
PlateTypeHeatExchanger,HeatExchangers,FALSE,PlateTypeHeatExchanger,,
ShellAndTubeBundleHeatExchangerWithUTube,HeatExchangers,FALSE,ShellAndTubeBundleHeatExchangerWithUTube,,
ShellTubeFloatingHeadHeatExchanger,HeatExchangers,FALSE,ShellTubeFloatingHeadHeatExchanger,,
ShellTubeHeatExchanger,HeatExchangers,FALSE,ShellTubeHeatExchanger,,
SpiralHeatExchanger,HeatExchangers,FALSE,SpiralHeatExchanger,,
SprayCoolerHeatExchanger,HeatExchangers,FALSE,SprayCoolerHeatExchanger,,
TEMATypeAEL,HeatExchangers,FALSE,TEMATypeAEL,,
TEMATypeAEM,HeatExchangers,FALSE,TEMATypeAEM,,
TEMATypeBEM,HeatExchangers,FALSE,TEMATypeBEM,,
TEMATypeBEU,HeatExchangers,FALSE,TEMATypeBEU,,
TEMATypeBKU,HeatExchangers,FALSE,TEMATypeBKU,,
TEMATypeNEN,HeatExchangers,FALSE,TEMATypeNEN,,
TubeBundleFloatingHeadHeatExchanger,HeatExchangers,FALSE,TubeBundleFloatingHeadHeatExchanger,,
TubeBundleHeatExchangerWithUTube,HeatExchangers,FALSE,TubeBundleHeatExchangerWithUTube,,
TubeCoilHeatExchanger,HeatExchangers,FALSE,TubeCoilHeatExchanger,,
SurfaceHeatExchangerCrossingMediaFlow,HeatExchangers,FALSE,SurfaceHeatExchangerCrossingMediaFlow,,
OilFiredBoilerWaterHeating,HeatExchangers,FALSE,OilFiredBoilerWaterHeating,,
WaterHeaterElectricallyHeated,HeatExchangers,FALSE,WaterHeaterElectricallyHeated,,
SurfaceHeatExchangerFluegasHeated,HeatExchangers,FALSE,SurfaceHeatExchangerFluegasHeated,,
FeedwaterPreheaterHeatedByFlowingSteam,HeatExchangers,FALSE,FeedwaterPreheaterHeatedByFlowingSteam,,
FeedwaterPreheaterHeatedByCondensingSteam,HeatExchangers,FALSE,FeedwaterPreheaterHeatedByCondensingSteam,,
CondensateCoolerWaterCooled,HeatExchangers,FALSE,CondensateCoolerWaterCooled,,
