PicklistValue,PicklistId,PicklistValueDescription,PnPID
CSC,40,,389
CSO,40,,390
LC,40,,391
LO,40,,392
NC,40,,393
NO,40,,394
A,41,Mixing equipment,395
B,41,Blowers,396
C,41,Compressors,397
E,41,Heat Exchangers,398
F,41,Furnaces,399
M,41,Mechanical Drivers,401
P,41,Pumps,402
R,41,Reactors,403
T,41,Towers/Columns,404
TK,41,Tanks,405
U,41,Miscellaneous Equipment,406
V,41,Drums,407
Flanged,42,FLANGED ENDCODE,408
Socket Welded,42,SOCKET WELDED ENDCODE,409
Unspecified,42,,410
Welded,42,WELDED ENDCODE,411
"1/4""",43,,412
"3/8""",43,,413
"1/2""",43,,414
"3/4""",43,,415
"1""",43,,416
"1 1/4""",43,,417
"1 1/2""",43,,418
"2""",43,,419
"2 1/2""",43,,420
"3""",43,,421
"4""",43,,422
"5""",43,,423
"6""",43,,424
"8""",43,,425
"10""",43,,426
"12""",43,,427
"14""",43,,428
"16""",43,,429
"18""",43,,430
"20""",43,,431
"22""",43,,432
"24""",43,,433
"26""",43,,434
"28""",43,,435
"30""",43,,436
"32""",43,,437
"36""",43,,438
"40""",43,,439
New,44,,440
Existing,44,,441
Demolition,44,,442
CSC,45,,443
CSO,45,,444
LC,45,,445
LO,45,,446
NC,45,,447
NO,45,,448
