PnPID,FlowCapacity,Power,TotalDynamicHead,Voltage,Phase,Frequency,InsulationType,Insulation
7349,,,,,,,,
7841,,,,,,,,
7994,,,,,,,,
8479,,,,,,,,
8778,,,,,,,,
8794,,,,,,,,
9629,,,,,,,,
9665,,,,,,,,
10778,,,,,,,,
12416,,,,,,,,
