PnPID,Tag,LineNumber,Description,Service,NominalSize,NominalSpec,Comment,AcquisitionProperties,Status
3250,?,,PIPE LINE GROUP,,,,,,New
3251,?,,PIPE LINE GROUP,,,,,,New
4517,001,001,PIPE LINE GROUP,AV,,,,,New
4518,?,,PIPE LINE GROUP,,,,,,New
4519,?,,PIPE LINE GROUP,,,,,,New
4520,?,,PIPE LINE GROUP,,,,,,New
4521,?,,PIPE LINE GROUP,,,,,,New
4522,?,,PIPE LINE GROUP,,,,,,New
4523,?,,PIPE LINE GROUP,,,,,,New
4524,?,,PIPE LINE GROUP,,,,,,New
4525,?,,PIPE LINE GROUP,,,,,,New
4526,?,,PIPE LINE GROUP,,,,,,New
4527,?,,PIPE LINE GROUP,,,,,,New
4528,?,,PIPE LINE GROUP,,,,,,New
4529,?,,PIPE LINE GROUP,,,,,,New
4530,?,,PIPE LINE GROUP,,,,,,New
4531,?,,PIPE LINE GROUP,,,,,,New
4532,?,,PIPE LINE GROUP,,,,,,New
4533,?,,PIPE LINE GROUP,,,,,,New
4534,?,,PIPE LINE GROUP,,,,,,New
4535,?,,PIPE LINE GROUP,,,,,,New
4536,?,,PIPE LINE GROUP,,,,,,New
4537,?,,PIPE LINE GROUP,,,,,,New
4538,?,,PIPE LINE GROUP,,,,,,New
4539,?,,PIPE LINE GROUP,,,,,,New
4540,?,,PIPE LINE GROUP,,,,,,New
4541,?,,PIPE LINE GROUP,,,,,,New
4542,?,,PIPE LINE GROUP,,,,,,New
4543,?,,PIPE LINE GROUP,,,,,,New
4544,?,,PIPE LINE GROUP,,,,,,New
4545,?,,PIPE LINE GROUP,,,,,,New
4546,?,,PIPE LINE GROUP,,,,,,New
4569,?,,PIPE LINE GROUP,,,,,,New
4570,?,,PIPE LINE GROUP,,,,,,New
4572,?,,PIPE LINE GROUP,,,,,,New
4573,?,,PIPE LINE GROUP,,,,,,New
4574,?,,PIPE LINE GROUP,,,,,,New
4575,?,,PIPE LINE GROUP,,,,,,New
4580,?,,PIPE LINE GROUP,,,,,,New
4581,?,,PIPE LINE GROUP,,,,,,New
4582,?,,PIPE LINE GROUP,,,,,,New
4583,?,,PIPE LINE GROUP,,,,,,New
4584,?,,PIPE LINE GROUP,,,,,,New
4585,?,,PIPE LINE GROUP,,,,,,New
4586,?,,PIPE LINE GROUP,,,,,,New
4587,?,,PIPE LINE GROUP,,,,,,New
4588,?,,PIPE LINE GROUP,,,,,,New
4589,?,,PIPE LINE GROUP,,,,,,New
4590,?,,PIPE LINE GROUP,,,,,,New
4591,?,,PIPE LINE GROUP,,,,,,New
4592,?,,PIPE LINE GROUP,,,,,,New
4593,?,,PIPE LINE GROUP,,,,,,New
4594,?,,PIPE LINE GROUP,,,,,,New
4595,?,,PIPE LINE GROUP,,,,,,New
4596,?,,PIPE LINE GROUP,,,,,,New
4597,?,,PIPE LINE GROUP,,,,,,New
4598,?,,PIPE LINE GROUP,,,,,,New
4599,?,,PIPE LINE GROUP,,,,,,New
4601,?,,PIPE LINE GROUP,,,,,,New
4602,?,,PIPE LINE GROUP,,,,,,New
4603,?,,PIPE LINE GROUP,,,,,,New
4604,?,,PIPE LINE GROUP,,,,,,New
4605,?,,PIPE LINE GROUP,,,,,,New
4606,?,,PIPE LINE GROUP,,,,,,New
4607,?,,PIPE LINE GROUP,,,,,,New
4608,?,,PIPE LINE GROUP,,,,,,New
4609,?,,PIPE LINE GROUP,,,,,,New
4610,?,,PIPE LINE GROUP,,,,,,New
4611,?,,PIPE LINE GROUP,,,,,,New
4612,?,,PIPE LINE GROUP,,,,,,New
4613,?,,PIPE LINE GROUP,,,,,,New
4614,?,,PIPE LINE GROUP,,,,,,New
4615,?,,PIPE LINE GROUP,,,,,,New
4616,?,,PIPE LINE GROUP,,,,,,New
4617,?,,PIPE LINE GROUP,,,,,,New
4618,?,,PIPE LINE GROUP,,,,,,New
4619,?,,PIPE LINE GROUP,,,,,,New
4620,?,,PIPE LINE GROUP,,,,,,New
4621,?,,PIPE LINE GROUP,,,,,,New
4622,?,,PIPE LINE GROUP,,,,,,New
4623,?,,PIPE LINE GROUP,,,,,,New
4624,?,,PIPE LINE GROUP,,,,,,New
4625,?,,PIPE LINE GROUP,,,,,,New
4626,?,,PIPE LINE GROUP,,,,,,New
4627,?,,PIPE LINE GROUP,,,,,,New
4628,?,,PIPE LINE GROUP,,,,,,New
4629,?,,PIPE LINE GROUP,,,,,,New
4630,?,,PIPE LINE GROUP,,,,,,New
4631,?,,PIPE LINE GROUP,,,,,,New
4632,?,,PIPE LINE GROUP,,,,,,New
4633,?,,PIPE LINE GROUP,,,,,,New
4634,?,,PIPE LINE GROUP,,,,,,New
4635,?,,PIPE LINE GROUP,,,,,,New
4636,?,,PIPE LINE GROUP,,,,,,New
4637,?,,PIPE LINE GROUP,,,,,,New
4638,?,,PIPE LINE GROUP,,,,,,New
4639,?,,PIPE LINE GROUP,,,,,,New
4640,?,,PIPE LINE GROUP,,,,,,New
4641,?,,PIPE LINE GROUP,,,,,,New
4642,?,,PIPE LINE GROUP,,,,,,New
4643,?,,PIPE LINE GROUP,,,,,,New
4644,?,,PIPE LINE GROUP,,,,,,New
4645,?,,PIPE LINE GROUP,,,,,,New
4646,?,,PIPE LINE GROUP,,,,,,New
4647,?,,PIPE LINE GROUP,,,,,,New
4648,?,,PIPE LINE GROUP,,,,,,New
4649,?,,PIPE LINE GROUP,,,,,,New
4650,?,,PIPE LINE GROUP,,,,,,New
4651,?,,PIPE LINE GROUP,,,,,,New
4652,?,,PIPE LINE GROUP,,,,,,New
4653,?,,PIPE LINE GROUP,,,,,,New
4654,?,,PIPE LINE GROUP,,,,,,New
4655,?,,PIPE LINE GROUP,,,,,,New
4656,?,,PIPE LINE GROUP,,,,,,New
4657,?,,PIPE LINE GROUP,,,,,,New
4658,?,,PIPE LINE GROUP,,,,,,New
4659,?,,PIPE LINE GROUP,,,,,,New
5775,?,,PIPE LINE GROUP,,,,,,New
5776,?,,PIPE LINE GROUP,,,,,,New
5777,?,,PIPE LINE GROUP,,,,,,New
5778,?,,PIPE LINE GROUP,,,,,,New
5779,?,,PIPE LINE GROUP,,,,,,New
5780,?,,PIPE LINE GROUP,,,,,,New
5781,?,,PIPE LINE GROUP,,,,,,New
5782,?,,PIPE LINE GROUP,,,,,,New
5783,?,,PIPE LINE GROUP,,,,,,New
5785,?,,PIPE LINE GROUP,,,,,,New
5786,?,,PIPE LINE GROUP,,,,,,New
5787,?,,PIPE LINE GROUP,,,,,,New
5788,?,,PIPE LINE GROUP,,,,,,New
5816,?,,PIPE LINE GROUP,,,,,,New
5817,?,,PIPE LINE GROUP,,,,,,New
5818,?,,PIPE LINE GROUP,,,,,,New
5819,?,,PIPE LINE GROUP,,,,,,New
5820,?,,PIPE LINE GROUP,,,,,,New
5821,?,,PIPE LINE GROUP,,,,,,New
5822,?,,PIPE LINE GROUP,,,,,,New
5823,?,,PIPE LINE GROUP,,,,,,New
5824,?,,PIPE LINE GROUP,,,,,,New
5825,?,,PIPE LINE GROUP,,,,,,New
5826,?,,PIPE LINE GROUP,,,,,,New
5827,?,,PIPE LINE GROUP,,,,,,New
5828,?,,PIPE LINE GROUP,,,,,,New
5829,?,,PIPE LINE GROUP,,,,,,New
5830,?,,PIPE LINE GROUP,,,,,,New
5831,?,,PIPE LINE GROUP,,,,,,New
5832,?,,PIPE LINE GROUP,,,,,,New
5833,?,,PIPE LINE GROUP,,,,,,New
5834,?,,PIPE LINE GROUP,,,,,,New
5835,?,,PIPE LINE GROUP,,,,,,New
5836,?,,PIPE LINE GROUP,,,,,,New
5837,?,,PIPE LINE GROUP,,,,,,New
5838,?,,PIPE LINE GROUP,,,,,,New
5839,?,,PIPE LINE GROUP,,,,,,New
5840,?,,PIPE LINE GROUP,,,,,,New
5841,?,,PIPE LINE GROUP,,,,,,New
5842,?,,PIPE LINE GROUP,,,,,,New
5843,?,,PIPE LINE GROUP,,,,,,New
5844,?,,PIPE LINE GROUP,,,,,,New
5845,?,,PIPE LINE GROUP,,,,,,New
5846,?,,PIPE LINE GROUP,,,,,,New
5847,?,,PIPE LINE GROUP,,,,,,New
5848,?,,PIPE LINE GROUP,,,,,,New
5849,?,,PIPE LINE GROUP,,,,,,New
5850,?,,PIPE LINE GROUP,,,,,,New
5851,?,,PIPE LINE GROUP,,,,,,New
5852,?,,PIPE LINE GROUP,,,,,,New
5853,?,,PIPE LINE GROUP,,,,,,New
5854,?,,PIPE LINE GROUP,,,,,,New
5855,?,,PIPE LINE GROUP,,,,,,New
5856,?,,PIPE LINE GROUP,,,,,,New
5857,?,,PIPE LINE GROUP,,,,,,New
5858,?,,PIPE LINE GROUP,,,,,,New
5859,?,,PIPE LINE GROUP,,,,,,New
5860,?,,PIPE LINE GROUP,,,,,,New
5861,?,,PIPE LINE GROUP,,,,,,New
5862,?,,PIPE LINE GROUP,,,,,,New
5863,?,,PIPE LINE GROUP,,,,,,New
5864,?,,PIPE LINE GROUP,,,,,,New
5865,?,,PIPE LINE GROUP,,,,,,New
5866,?,,PIPE LINE GROUP,,,,,,New
5867,?,,PIPE LINE GROUP,,,,,,New
5868,?,,PIPE LINE GROUP,,,,,,New
5869,?,,PIPE LINE GROUP,,,,,,New
5870,?,,PIPE LINE GROUP,,,,,,New
5871,?,,PIPE LINE GROUP,,,,,,New
5872,?,,PIPE LINE GROUP,,,,,,New
