PnPID,Duty,SurfaceArea,ShellDesignPressure,ShellDesignTemperature,TubeDesignPressure,TubeDesignTemperature,TrimShell,TrimTube,InsulationType,Insulation,MaterialOfConstructionShell,MaterialOfConstructionTube,FlowRate,Volume
10135,,,,,,,,,,,,,,
10148,,,,,,,,,,,,,,
10155,,,,,,,,,,,,,,
