TableName,PropertyName,PropertyType,IsObjectId,IsCounter,IsSystem,IsUnique,CheckConstraint,DefaultValue,Length,IsExpression,Expression
Tanks,DesignTemperature,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
Tanks,Trim,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
Tanks,InsulationType,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
Tanks,Insulation,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
Tanks,Height,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
Tanks,Width,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
Tanks,OperatingPressure,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
Tanks,OperatingTemperature,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
Tanks,NumberOfTrays,System.Int32,FALSE,FALSE,FALSE,FALSE,,,-1,FALSE,
Bag,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ConeRoofTank,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ConicalBin,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ConicalHeadsVessel,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
Container,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
CoolingTower,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
DishedHeadsVessel,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
DistillationTower,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
DomeRoofTank,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
DoubleWallTank,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ExternalFloatingRoofTank,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
FixedBedColumn,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
FloatingRoofTank,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
FluidizedBedColumn,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
FullTubeCoilVessel,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GasCylinder,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GasHolder,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GeneralBasin,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GeneralColumn,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GeneralColumnWithTrays,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GeneralVessel,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
InternalFloatingRoofTank,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
JacketedVessel,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
